country,pop,whpw,isr10,iu,munemployment,popdens,vac,adi,wbdhe,arppc,albsoap,albwsoap,cm,c02,demox,funemployment,gdp,povrate,lex
Afghanistan,0.02583766130052250060,0.37640449438202239207,0.46113537117903918849,0.13375130616509919856,0.10088261253309789567,0.00213180967084490016,0.17213114754098360337,0.02562308701355479890,0.73527753367356718517,0.02402654681396219905,0.44571740316421171180,0.54672897196261693864,0.51225697379543533305,0.00822133257077489916,0.21501706484641630590,0.16292498650836478857,0.00798270822587380038,0.85685071574642124315,0.33333333333333348136
Albania,0.00202762105514600003,0.47191011235955038217,0.13537117903930129259,0.64158829676071071901,0.46160635481023831739,0.00406165020116820014,0.13934426229508189987,0.09138609532138169955,0.28494282506671092525,0.02759692527407900040,0.98908892525913805205,0.91277258566978203280,0.06018596787827550088,0.07349156419788389905,0.55745164960182014280,0.29303831624392867594,0.06319848696976390623,0.18813905930470339878,0.79646017699115079225
Algeria,0.02992219940827709965,0.33258426966292109483,0.24279475982532738865,0.47021943573667701610,0.30035304501323928372,0.00061606447698780000,0.30327868852459022309,0.07066025360734580485,0.26815089752584159166,0.00310832948292510004,0.85051827605019081346,0.90654205607476634476,0.18427726120033810497,0.13104089219330850025,0.27531285551763368113,0.20523475445223948732,0.05533858963967280137,0.30674846625766871711,0.72566371681415953176
Angola,0.02203481547606130075,0.34719101123595480507,0.87336244541484731041,0.26123301985370950273,0.10617828773168569434,0.00090124334078049999,0.17704918032786878812,0.03349365981635329947,0.04128042745702339977,0.00348636955517280011,0.46644844517184941290,0.32398753894081000482,0.63820794590025364812,0.03917643694595360215,0.28896473265073951975,0.16805180787911488949,0.03166064893277330261,0.79038854805725977659,0.38938053097345121101
Antigua and Barbuda,0.00005640887972950781,0.46404494382022409837,0.30655021834061130237,0.78996865203761756913,0.21959399823477490643,0.00800727557693049936,0.25737704918032788814,0.17533887188456490080,0.17625572849058321334,0.04313857268870500278,0.97163120567375882430,0.97507788161993802500,0.04006762468300929803,0.20932227623677429618,0.75062571103526731786,0.16454398273070688918,0.10790165303465719393,0.10633946830265850192,0.73156342182890865544
Argentina,0.03147150696639099826,0.20224719101123550535,0.45851528384279488515,0.77011494252873569089,0.24227714033539268779,0.00054574640098410004,0.09836065573770490233,0.18146042850896371146,0.50133258723557294623,0.00273869030117190014,0.65259138025095464464,0.69034267912772584452,0.06965342349957730217,0.14033457249070629969,0.67576791808873715173,0.22396114409066369966,0.10937538378404930428,0.11349693251533740646,0.74041297935103278505
Armenia,0.00204170566931070017,0.32584269662921311328,0.41921397379912661574,0.67084639498432607763,0.72639011473962933341,0.00390538781004890010,1.00000000000000000000,0.06243987756886749951,0.48452150785918879361,0.01243331793170070025,0.93126022913256956137,0.99844236760124616126,0.09044801352493660185,0.08814698312839569505,0.42207053469852101601,0.53858607663248780906,0.06270724338663319353,0.48466257668711659745,0.71386430678466084032
Australia,0.01766858508501329902,0.05617977528089870137,0.28820960698689940260,0.89864158829676077378,0.14518976169461608738,0.00004844134124698170,0.27049180327868849183,0.55050284215128986176,0.48749104516857549863,0.00671021128239589985,1.00000000000000000000,1.00000000000000000000,0.01682163989856290051,0.52101801544180725845,0.91126279863481240984,0.10793308148947650116,0.23955493331368349352,0.01063394683026580058,0.92920353982300918361
Austria,0.00621779376913569968,0.19101123595505589692,0.18777292576419210568,0.87251828631138983461,0.18181818181818179547,0.00410071579894809995,0.96721311475409843528,0.55312636641888945910,0.50482845002549714408,0.01285336245642029925,1.00000000000000000000,1.00000000000000000000,0.01538461538461530047,0.36731484129253649806,0.82025028441410696711,0.09956826767404200473,0.27050327905091731129,0.00695296523517379989,0.90560471976401180072
Azerbaijan,0.00703470139068660023,0.26404494382022430932,0.27423580786026208189,0.79205851619644729311,0.12003530450132389451,0.00464763416786560021,0.68032786885245910558,0.15085264538696979697,0.11601023384118210047,0.00424034947704450028,0.95744680851063823646,0.92056074766355155958,0.16737109044801348756,0.12317700886474119981,0.17861205915813418987,0.12007555315704260268,0.06761967921794019565,0.02208588957055209953,0.57227138643067831936
